date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:15	122023/122023	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:15%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/kousa-dogwood/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/kousa-dogwood/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:15	121946/121946	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:15%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/redbud/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/redbud/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:15	122045/122045	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:16%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/saucer-magnolia/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/saucer-magnolia/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:16	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2029%20Oct%202025%2014:21:16%20GMT	https://wb-Voltique1.mybigcommerce.com/cart.php?action=add&product_id=111	D:/Voltique/wb-Voltique1.mybigcommerce.com/cartbbcf.php	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:19	93767/93767	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:17%20GMT	https://wb-Voltique1.mybigcommerce.com/blog/	D:/Voltique/wb-Voltique1.mybigcommerce.com/blog/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:19	193772/193772	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:17%20GMT	https://wb-Voltique1.mybigcommerce.com/?setCurrencyId=1	D:/Voltique/wb-Voltique1.mybigcommerce.com/index85eb.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:19	193809/193809	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:17%20GMT	https://wb-Voltique1.mybigcommerce.com/?setCurrencyId=2	D:/Voltique/wb-Voltique1.mybigcommerce.com/index612c.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:20	126260/126260	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:17%20GMT	https://wb-Voltique1.mybigcommerce.com/sample-smith-journal-13/	D:/Voltique/wb-Voltique1.mybigcommerce.com/sample-smith-journal-13/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:20	125441/125441	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:21%20GMT	https://wb-Voltique1.mybigcommerce.com/dustpan-brush/	D:/Voltique/wb-Voltique1.mybigcommerce.com/dustpan-brush/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:21	7337/7337	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Oct%202025%2014:21:21%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/278x350/products/107/417/1__40025.1568672729.jpg?c=2	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/278x350/products/107/417/1__400254847.jpg	(from https://wb-Voltique1.mybigcommerce.com/)
